Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
28.6,0,26.21215311,19.04423875,9.455927636,29.10232693,-9.394105291,28.91212178,-22.97607391,16.69311318,-27.8,0,-18.93100846,-13.75416006,-9.641357376,-29.67295449,9.208676794,-28.34149382,23.94688256,-17.39847164,1.8,1,0,36
28.8,0,26.05034969,18.92668172,9.332320739,28.72190435,-9.51771194,29.29254443,-23.13787725,16.81067031,-28.6,0,-18.76920496,-13.63660313,-9.826768095,-30.24358823,9.146873594,-28.15128245,24.59409561,-17.8687006,1.8,1,0,36
29,0,25.88854628,18.80912469,9.085106945,27.9610592,-9.332301967,28.72191045,-23.13787725,16.81067031,-28.8,0,-18.76920496,-13.63660313,-9.51775023,-29.29253199,9.146873594,-28.15128245,25.07950539,-18.22137233,1.8,1,0,36
28.8,0,25.56493945,18.57401063,8.899696599,27.39042534,-9.394105291,28.91212178,-22.97607391,16.69311318,-29,0,-18.60740147,-13.51904621,-9.51775023,-29.29253199,9.146873594,-28.15128245,25.72671843,-18.69160129,1.8,1,0,36
29.8,0,25.07952921,18.22133954,8.961500047,27.58063663,-9.394105291,28.91212178,-22.16705722,16.1053275,-29.4,0,-18.76920496,-13.63660313,-9.703160949,-29.86316573,9.146873594,-28.15128245,26.53573473,-19.27938749,1.8,1,0,36
30.2,0,25.24133262,18.33889657,9.023303496,27.77084792,-9.08508867,27.96106514,-21.35804054,15.51754183,-29.8,0,-18.60740147,-13.51904621,-9.641357376,-29.67295449,9.023267195,-27.77085971,27.5065543,-19.98473094,1.8,1,0,36
29.6,0,25.24133262,18.33889657,8.899696599,27.39042534,-9.08508867,27.96106514,-21.1962372,15.39998469,-29.8,0,-18.60740147,-13.51904621,-9.703160949,-29.86316573,8.899660795,-27.39043698,27.18294778,-19.74961646,1.8,1,0,36
29,0,24.91772579,18.10378251,8.961500047,27.58063663,-9.023285345,27.77085381,-21.35804054,15.51754183,-29.6,0,-18.76920496,-13.63660313,-9.888571668,-30.43379947,8.837857595,-27.20022561,27.5065543,-19.98473094,1.8,1,0,36
29.2,0,25.24133262,18.33889657,9.085106945,27.9610592,-8.961482021,27.58064249,-21.03443386,15.28242756,-29.8,0,-19.09281195,-13.87171698,-9.826768095,-30.24358823,8.590644795,-26.43938014,27.99196408,-20.33740266,1.8,1,0,36
28.4,0,25.56493945,18.57401063,8.899696599,27.39042534,-9.023285345,27.77085381,-20.54902385,14.92975615,-29.4,0,-18.93100846,-13.75416006,-9.641357376,-29.67295449,8.652447995,-26.6295915,27.66835756,-20.10228818,1.8,1,0,36
28.2,0,25.56493945,18.57401063,8.83789315,27.20021406,-9.455908615,29.10233311,-20.38722051,14.81219902,-29.2,0,-19.25461544,-13.9892739,-9.455946657,-29.10232075,8.776054395,-27.01001424,26.85934126,-19.51450198,1.8,1,0,36
28.8,0,25.24133262,18.33889657,9.023303496,27.77084792,-9.51771194,29.29254443,-20.22541718,14.69464188,-28.2,0,-18.93100846,-13.75416006,-9.394143084,-28.9121095,9.146873594,-28.15128245,26.53573473,-19.27938749,1.8,1,0,36
29,0,25.24133262,18.33889657,9.023303496,27.77084792,-9.455908615,29.10233311,-19.74000716,14.34197048,-28.6,0,-18.60740147,-13.51904621,-9.455946657,-29.10232075,9.085070395,-27.96107108,26.21212821,-19.04427301,1.8,1,0,36
28.4,0,25.07952921,18.22133954,9.27051729,28.53169307,-9.51771194,29.29254443,-19.9018105,14.45952761,-28.4,0,-18.44559798,-13.40148929,-9.332339511,-28.72189825,9.332283194,-28.72191655,25.40311191,-18.45648681,1.8,1,0,36
28.2,0,24.59411896,17.86866845,9.332320739,28.72190435,-9.455908615,29.10233311,-20.06361384,14.57708475,-28,0,-18.121991,-13.16637544,-9.332339511,-28.72189825,9.270479994,-28.53170518,25.24130865,-18.33892957,1.8,1,0,36
29,0,24.75592238,17.98622548,9.455927636,29.10232693,-9.270498642,28.53169912,-20.06361384,14.57708475,-27.6,0,-18.121991,-13.16637544,-9.332339511,-28.72189825,9.208676794,-28.34149382,25.72671843,-18.69160129,1.8,1,0,36
29.2,0,24.75592238,17.98622548,9.455927636,29.10232693,-9.146891994,28.15127647,-21.03443386,15.28242756,-28.6,0,-18.44559798,-13.40148929,-9.146928793,-28.15126451,9.023267195,-27.77085971,25.56491517,-18.57404405,1.8,1,0,36
29.6,0,24.75592238,17.98622548,9.579534533,29.4827495,-9.08508867,27.96106514,-21.68164721,15.7526561,-28.2,0,-19.25461544,-13.9892739,-9.08512522,-27.96105327,9.085070395,-27.96107108,25.72671843,-18.69160129,1.8,1,0,36
30,0,24.59411896,17.86866845,9.394124188,28.91211564,-8.961482021,27.58064249,-21.84345055,15.87021323,-28,0,-19.09281195,-13.87171698,-9.146928793,-28.15126451,8.961463995,-27.58064834,26.05032495,-18.92671577,1.8,1,0,36
30.4,0,24.75592238,17.98622548,9.517731085,29.29253821,-8.899678697,27.39043116,-22.81427057,16.57555604,-28.2,0,-19.41641893,-14.10683083,-9.023321647,-27.77084202,8.837857595,-27.20022561,25.72671843,-18.69160129,1.8,1,0,36
29.8,0,24.43231555,17.75111143,9.27051729,28.53169307,-8.714268724,26.81979718,-23.29968059,16.92822745,-28.2,0,-19.25461544,-13.9892739,-9.08512522,-27.96105327,8.961463995,-27.58064834,25.72671843,-18.69160129,1.8,1,0,36
29.4,0,24.59411896,17.86866845,9.27051729,28.53169307,-8.837875372,27.20021983,-22.00525389,15.98777037,-27.6,0,-19.74002591,-14.34194467,-9.08512522,-27.96105327,8.899660795,-27.39043698,26.21212821,-19.04427301,1.8,1,0,36
29.6,0,24.75592238,17.98622548,9.085106945,27.9610592,-8.899678697,27.39043116,-21.84345055,15.87021323,-28,0,-19.57822242,-14.22438775,-8.776107355,-27.00999703,8.714251195,-26.81980287,25.72671843,-18.69160129,1.8,1,0,36
29.6,0,24.91772579,18.10378251,9.085106945,27.9610592,-8.961482021,27.58064249,-21.84345055,15.87021323,-28,0,-19.57822242,-14.22438775,-8.652500209,-26.62957454,8.837857595,-27.20022561,25.56491517,-18.57404405,1.8,1,0,36
29.8,0,25.24133262,18.33889657,9.023303496,27.77084792,-9.023285345,27.77085381,-22.32886056,16.22288464,-28.6,0,-19.74002591,-14.34194467,-8.528893063,-26.24915205,8.899660795,-27.39043698,25.88852169,-18.80915853,1.8,1,0,36
29.8,0,25.24133262,18.33889657,9.394124188,28.91211564,-9.208695318,28.3414878,-22.00525389,15.98777037,-28.4,0,-19.74002591,-14.34194467,-8.405285918,-25.86872955,8.837857595,-27.20022561,25.24130865,-18.33892957,1.8,1,0,36
30.8,0,25.07952921,18.22133954,9.332320739,28.72190435,-8.961482021,27.58064249,-22.81427057,16.57555604,-28.2,0,-19.25461544,-13.9892739,-8.46708949,-26.0589408,8.899660795,-27.39043698,24.59409561,-17.8687006,1.8,1,0,36
31.2,0,25.07952921,18.22133954,9.332320739,28.72190435,-8.961482021,27.58064249,-22.65246724,16.45799891,-28.2,0,-18.76920496,-13.63660313,-8.528893063,-26.24915205,9.023267195,-27.77085971,25.24130865,-18.33892957,1.8,1,0,36
32.2,0,24.91772579,18.10378251,9.455927636,29.10232693,-9.023285345,27.77085381,-23.29968059,16.92822745,-28.6,0,-18.60740147,-13.51904621,-8.46708949,-26.0589408,8.837857595,-27.20022561,25.07950539,-18.22137233,1.8,1,0,36
32.2,0,24.43231555,17.75111143,9.332320739,28.72190435,-9.208695318,28.3414878,-22.4906639,16.34044177,-28.4,0,-18.76920496,-13.63660313,-8.528893063,-26.24915205,8.714251195,-26.81980287,25.24130865,-18.33892957,1.8,1,0,36
32.2,0,24.27051214,17.6335544,9.27051729,28.53169307,-9.146891994,28.15127647,-23.46148392,17.04578458,-28.8,0,-18.28379449,-13.28393236,-8.528893063,-26.24915205,8.714251195,-26.81980287,25.72671843,-18.69160129,1.8,1,0,36
31.6,0,24.43231555,17.75111143,9.208713842,28.34148178,-9.332301967,28.72191045,-23.94689394,17.39845599,-29.4,0,-18.28379449,-13.28393236,-8.46708949,-26.0589408,8.528841595,-26.24916877,26.21212821,-19.04427301,1.8,1,0,36
