67.75,53.53,53.95,57.74,60.03,57.82,29.25,54.56,57.93,56.14,54.4,51.12,53.76,37.77,51.26,57.39,28.69,52.23,63.57,46.6,75.34,55.36,53.46,70.31,0.9,0,0,140
64.27,53.53,53.06,56.85,60.97,57.82,32.1,50.96,58.84,56.14,54.4,52.03,52.81,38.77,52.94,57.39,31.42,51.36,62.66,47.6,77.06,55.36,52.44,72.09,0.9,0,0,140
64.27,55.05,53.95,60.41,58.15,57.82,29.25,55.46,56.11,57.05,53.5,52.03,54.71,37.77,51.26,58.28,28.69,53.97,64.48,50.6,78.78,54.45,52.44,72.09,0.9,0,0,140
66.59,53.53,54.84,58.63,58.15,56.95,29.25,52.76,60.66,55.23,54.4,51.12,55.66,37.77,51.26,56.5,28.69,53.97,63.57,49.6,77.92,56.27,51.42,69.42,0.9,0,0,140
67.75,54.29,53.06,58.63,60.03,57.82,35.9,55.46,59.75,55.23,55.3,49.3,53.76,35.77,50.42,59.17,28.69,53.97,63.57,47.6,75.34,55.36,51.42,71.2,0.9,0,0,140
66.59,54.29,54.84,59.52,60.97,56.95,33.05,51.86,59.75,57.05,54.4,50.21,55.66,39.77,49.58,58.28,30.51,53.97,62.66,49.6,75.34,52.63,52.44,68.53,0.9,0,0,140
66.59,53.53,53.06,58.63,60.03,56.95,31.15,53.66,57.93,57.05,55.3,52.03,51.86,37.77,52.1,56.5,32.33,53.97,61.75,48.6,78.78,55.36,52.44,70.31,0.9,0,0,140
67.75,55.05,52.17,57.74,60.97,55.21,31.15,54.56,58.84,56.14,53.5,52.94,53.76,36.77,48.74,59.17,29.6,52.23,64.48,49.6,78.78,54.45,51.42,69.42,0.9,0,0,140
65.43,53.53,54.84,60.41,60.03,56.08,34,54.56,57.02,58.87,53.5,52.94,54.71,36.77,52.1,59.17,27.78,53.1,61.75,47.6,78.78,53.54,51.42,69.42,0.9,0,0,140
65.43,54.29,53.95,56.85,58.15,58.69,31.15,53.66,57.93,57.05,53.5,48.39,53.76,37.77,52.1,57.39,29.6,53.1,62.66,46.6,77.92,54.45,53.46,70.31,0.9,0,0,140
65.43,56.57,52.17,56.85,59.09,58.69,31.15,50.96,57.93,60.69,56.2,50.21,51.86,36.77,49.58,57.39,27.78,52.23,61.75,50.6,77.92,53.54,52.44,69.42,0.9,0,0,140
65.43,55.05,53.95,57.74,60.03,56.08,31.15,54.56,57.93,55.23,56.2,50.21,52.81,36.77,51.26,57.39,31.42,50.49,61.75,48.6,81.36,55.36,51.42,70.31,1.2,0,0,140
65.43,52.01,54.84,58.63,60.97,58.69,31.15,56.36,60.66,55.23,55.3,52.03,53.76,38.77,51.26,56.5,33.24,53.1,63.57,46.6,77.92,55.36,51.42,68.53,1.2,0,0,140
63.11,53.53,52.17,55.07,60.03,57.82,32.1,55.46,60.66,56.14,55.3,51.12,53.76,39.77,52.1,58.28,28.69,52.23,64.48,46.6,78.78,56.27,52.44,70.31,1.2,0,0,140
64.27,55.05,53.06,58.63,60.03,56.08,31.15,52.76,57.93,56.14,55.3,52.94,53.76,37.77,52.1,54.72,32.33,50.49,63.57,49.6,77.92,56.27,51.42,70.31,1.2,0,0,140
65.43,53.53,55.73,55.07,60.03,57.82,30.2,55.46,60.66,54.32,55.3,52.03,51.86,37.77,51.26,55.61,28.69,53.1,63.57,42.6,79.64,55.36,52.44,68.53,1.2,0,0,140
66.59,52.01,54.84,58.63,59.09,56.95,29.25,53.66,57.93,55.23,55.3,52.94,53.76,38.77,52.1,56.5,29.6,54.84,62.66,46.6,79.64,54.45,51.42,67.64,1.2,0,0,140
67.75,57.33,52.17,59.52,59.09,56.08,32.1,56.36,59.75,55.23,55.3,53.85,53.76,39.77,52.94,55.61,30.51,53.1,62.66,46.6,77.06,55.36,52.44,68.53,1.2,0,0,140
66.59,51.25,54.84,59.52,59.09,59.56,30.2,52.76,56.11,54.32,56.2,52.03,53.76,37.77,53.78,58.28,30.51,50.49,61.75,45.6,80.5,56.27,52.44,71.2,1.2,0,0,140
66.59,54.29,53.95,58.63,60.03,57.82,31.15,51.86,56.11,55.23,56.2,51.12,53.76,37.77,52.1,56.5,29.6,49.62,63.57,44.6,78.78,55.36,51.42,70.31,1.2,0,0,140
66.59,55.81,53.95,59.52,60.03,56.08,29.25,52.76,56.11,55.23,56.2,54.76,50.91,37.77,51.26,56.5,30.51,51.36,63.57,46.6,80.5,56.27,48.36,70.31,1.2,0,0,140
66.59,53.53,56.62,59.52,58.15,57.82,27.35,53.66,58.84,57.96,56.2,51.12,54.71,38.77,54.62,55.61,29.6,52.23,63.57,48.6,79.64,53.54,51.42,70.31,1.2,0,0,140
65.43,53.53,53.06,57.74,59.09,58.69,30.2,54.56,58.84,56.14,54.4,51.12,53.76,38.77,52.1,57.39,26.87,53.1,63.57,45.6,78.78,54.45,51.42,69.42,1.2,0,0,140
65.43,55.05,53.95,57.74,60.03,56.95,31.15,53.66,58.84,55.23,54.4,52.94,51.86,38.77,52.94,56.5,31.42,52.23,62.66,46.6,77.06,55.36,49.38,70.31,1.2,0,0,140
65.43,54.29,54.84,57.74,60.03,57.82,33.05,54.56,58.84,54.32,54.4,52.94,54.71,39.77,52.94,59.17,29.6,51.36,61.75,45.6,77.92,57.18,51.42,72.09,1.2,0,0,140
67.75,53.53,52.17,57.74,60.03,56.08,30.2,55.46,56.11,56.14,52.6,52.03,52.81,39.77,51.26,56.5,29.6,53.1,65.39,48.6,79.64,58.09,51.42,70.31,1.2,0,0,140
65.43,53.53,53.95,55.96,58.15,56.95,30.2,52.76,57.93,56.14,56.2,51.12,53.76,37.77,54.62,57.39,30.51,52.23,59.93,47.6,78.78,58.09,50.4,72.09,1.2,0,0,140
67.75,52.77,53.95,59.52,59.09,56.08,30.2,53.66,57.93,57.05,55.3,50.21,52.81,39.77,49.58,56.5,31.42,52.23,63.57,48.6,78.78,57.18,49.38,69.42,1.2,0,0,140
66.59,53.53,53.06,55.96,59.09,56.95,30.2,51.86,54.29,57.05,54.4,51.12,49.96,38.77,52.94,57.39,29.6,53.1,64.48,46.6,77.06,55.36,52.44,70.31,1.2,0,0,140
66.59,54.29,53.06,59.52,60.03,58.69,26.4,53.66,57.93,54.32,55.3,50.21,52.81,37.77,50.42,54.72,27.78,51.36,64.48,48.6,78.78,57.18,51.42,72.09,1.2,0,0,140
66.59,52.77,53.95,57.74,61.91,57.82,27.35,54.56,57.02,54.32,54.4,52.94,51.86,36.77,52.1,53.83,30.51,55.71,62.66,46.6,75.34,56.27,51.42,71.2,1.2,0,0,140
64.27,52.77,52.17,59.52,59.09,57.82,28.3,52.76,57.93,54.32,58.9,52.94,51.86,37.77,52.94,55.61,31.42,53.1,61.75,47.6,78.78,57.18,50.4,70.31,1.2,0,0,140
63.11,55.05,54.84,57.74,60.03,56.95,32.1,54.56,60.66,57.05,54.4,52.03,55.66,37.77,49.58,56.5,31.42,53.1,63.57,47.6,77.92,57.18,47.34,68.53,1.2,0,0,140
64.27,52.01,54.84,56.85,60.97,56.95,28.3,54.56,57.93,55.23,56.2,52.03,51.86,40.77,52.1,55.61,30.51,52.23,60.84,48.6,79.64,54.45,50.4,67.64,1.2,0,0,140
65.43,52.77,55.73,59.52,58.15,56.08,31.15,54.56,60.66,55.23,54.4,51.12,54.71,41.77,51.26,58.28,30.51,53.97,63.57,48.6,77.06,56.27,51.42,71.2,1.2,0,0,140
