Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
39,40,46,36,43,36,48,-0.18,0,0,"2
"
39,40,46,36,41,34,46,-0.16,0,0,"2
"
39,40,46,36,41,34,46,-0.18,0,0,"2
"
39,45,46,36,41,35,46,-0.19,0,0,"2
"
39,45,46,36,41,35,48,-0.13,0,0,"2
"
39,45,46,36,41,35,48,-0.11,0,0,"2
"
36,44,48,36,40,37,48,-0.17,0,0,"2
"
36,44,48,34,40,37,48,-0.25,0,0,"2
"
36,44,45,34,43,36,48,-0.29,0,0,"2
"
40,42,45,34,43,36,45,-0.25,0,0,"2
"
40,42,45,33,43,36,45,-0.13,0,0,"2
"
40,43,46,33,42,36,43,-0.12,0,0,"2
"
36,43,46,33,42,36,43,-0.19,0,0,"2
"
36,43,46,39,43,36,43,-0.23,0,0,"2
"
38,41,49,39,43,40,46,-0.2,0,0,"2
"
38,41,49,33,43,40,46,-0.27,0,0,"2
"
38,44,49,33,44,35,50,-0.18,0,0,"2
"
39,44,49,33,44,35,50,-0.3,0,0,"2
"
39,44,49,38,44,35,50,-0.33,0,0,"2
"
37,45,48,38,40,36,49,-0.21,0,0,"2
"
37,45,48,35,40,36,49,-0.18,0,0,"2
"
37,45,49,35,40,39,49,-0.24,0,0,"2
"
37,44,49,35,40,39,44,-0.29,0,0,"2
"
37,44,49,35,40,39,44,-0.31,0,0,"2
"
37,42,48,35,41,37,46,-0.33,0,0,"2
"
39,42,48,36,41,37,46,-0.26,0,0,"2
"
39,42,47,36,41,37,46,-0.19,0,0,"2
"
39,45,47,36,41,39,49,-0.21,0,0,"2
"
39,45,47,37,41,39,49,-0.28,0,0,"2
"
39,45,48,37,42,35,45,-0.22,0,0,"2
"
37,45,48,37,42,35,45,-0.27,0,0,"2
"
37,45,48,39,42,35,45,-0.28,0,0,"2
"
37,43,51,39,38,39,47,-0.25,0,0,"2
"
37,43,51,35,38,39,47,-0.25,0,0,"2
"
37,45,49,35,39,36,47,-0.28,0,0,"2
"
37,45,49,35,39,36,45,-0.27,0,0,"2
"
37,45,49,33,39,36,45,-0.24,0,0,"2
"
37,42,45,33,43,41,47,-0.21,0,0,"2
"
35,42,45,41,43,41,47,-0.22,0,0,"2
"
35,42,46,41,43,35,47,-0.22,0,0,"2
"
36,43,46,41,43,35,52,-0.25,0,0,"2
"
36,43,46,36,43,35,52,-0.25,0,0,"2
"
36,44,44,36,43,33,50,-0.19,0,0,"2
"
38,44,44,33,43,33,50,-0.15,0,0,"2
"
38,44,44,33,41,33,50,-0.19,0,0,"2
"
35,42,49,33,41,37,47,-0.23,0,0,"2
"
35,42,49,33,41,37,47,-0.29,0,0,"2
"
35,49,47,33,41,35,47,-0.28,0,0,"2
"
36,49,47,33,41,35,47,-0.29,0,0,"2
"
36,49,47,37,41,35,47,-0.23,0,0,"2
"
36,46,47,37,42,35,49,-0.19,0,0,"2
"
38,46,47,38,42,35,49,-0.21,0,0,"2
"
38,46,50,38,38,40,49,-0.26,0,0,"2
"
35,45,50,38,38,40,47,-0.23,0,0,"2
"
35,45,50,35,38,40,47,-0.25,0,0,"2
"
35,47,44,35,40,36,51,-0.23,0,0,"2
"
34,47,44,36,40,36,51,-0.21,0,0,"2
"
34,47,42,36,41,36,51,-0.24,0,0,"2
"
34,47,42,36,41,36,45,-0.3,0,0,"2
"
34,47,42,34,41,36,45,-0.27,0,0,"2
"
34,43,45,34,40,34,49,-0.22,0,0,"2
"
36,43,45,33,40,34,49,-0.27,0,0,"2
"
36,43,45,33,41,22,49,-0.26,0,0,"2
"
36,47,52,33,41,22,50,-0.21,0,0,"2
"
