Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
28.8,0,25.88854628,18.80912469,9.332320739,28.72190435,-9.764925237,30.05338974,-20.54902385,14.92975615,-31,0,-23.46150621,-17.04575392,-8.837910928,-27.20020828,8.899660795,-27.39043698,26.69753799,-19.39694473,0.8,1,0,36
29,0,25.72674286,18.69156766,9.394124188,28.91211564,-9.641318588,29.67296709,-19.57820383,14.22441334,-31.8,0,-22.97609573,-16.69308314,-9.023321647,-27.77084202,8.837857595,-27.20022561,26.05032495,-18.92671577,0.8,1,0,36
29.4,0,25.07952921,18.22133954,9.332320739,28.72190435,-9.579515264,29.48275576,-19.9018105,14.45952761,-31.6,0,-22.97609573,-16.69308314,-9.023321647,-27.77084202,8.714251195,-26.81980287,25.24130865,-18.33892957,0.8,1,0,36
30.2,0,25.40313604,18.4564536,9.455927636,29.10232693,-9.641318588,29.67296709,-20.06361384,14.57708475,-31.8,0,-22.97609573,-16.69308314,-8.961518074,-27.58063077,8.652447995,-26.6295915,25.07950539,-18.22137233,0.8,1,0,36
30,0,24.91772579,18.10378251,9.394124188,28.91211564,-9.826728561,30.24360107,-18.6073838,13.51907053,-32,0,-23.29970271,-16.92819699,-8.961518074,-27.58063077,8.652447995,-26.6295915,25.07950539,-18.22137233,0.8,1,0,36
29.8,0,24.75592238,17.98622548,9.394124188,28.91211564,-9.641318588,29.67296709,-18.6073838,13.51907053,-32.2,0,-23.78511319,-17.28086776,-8.714303782,-26.81978579,8.652447995,-26.6295915,25.56491517,-18.57404405,0.8,1,0,36
30,0,24.75592238,17.98622548,9.208713842,28.34148178,-9.826728561,30.24360107,-19.25459715,13.98929907,-32,0,-23.78511319,-17.28086776,-8.714303782,-26.81978579,8.590644795,-26.43938014,25.88852169,-18.80915853,0.8,1,0,36
30,0,25.40313604,18.4564536,9.208713842,28.34148178,-9.888531885,30.4338124,-19.57820383,14.22441334,-32.4,0,-24.10872017,-17.51598161,-8.714303782,-26.81978579,8.714251195,-26.81980287,26.69753799,-19.39694473,0.8,1,0,36
29.6,0,25.24133262,18.33889657,8.961500047,27.58063663,-9.95033521,30.62402373,-21.03443386,15.28242756,-32.2,0,-23.78511319,-17.28086776,-8.652500209,-26.62957454,8.899660795,-27.39043698,26.53573473,-19.27938749,0.8,1,0,36
30.4,0,25.07952921,18.22133954,8.961500047,27.58063663,-9.579515264,29.48275576,-22.32886056,16.22288464,-32,0,-23.6233097,-17.16331084,-8.652500209,-26.62957454,8.961463995,-27.58064834,26.37393147,-19.16183025,0.8,1,0,36
30,0,25.07952921,18.22133954,8.961500047,27.58063663,-9.888531885,30.4338124,-22.81427057,16.57555604,-31.6,0,-23.29970271,-16.92819699,-8.899714501,-27.39041953,9.146873594,-28.15128245,26.37393147,-19.16183025,0.8,1,0,36
